(spring) onion 	(új)hagyma
a bottle of … 	egy üveg / palack …
a box of … 	egy doboz …
a carton of … 	egy karton …
a jar of … 	egy kancsó …
a loaf of … 	egy cipó / vekni …
a packet of … 	egy csomag …
a roll of … 	egy tekercs …
a tube of … 	egy tubus …
aisle 	áruházi folyosó a polcok között
almond 	mandula
apple 	alma
apricot 	sárgabarack
at a reduced price 	leértékelt áron
bacon 	szalonna
baker’s, bakery 	pékség
banana 	banán
bargain 	előnyös vétel
basket 	kosár
bean 	bab
beef 	marha
beer 	sör
beetroot 	cékla
biscuits 	cookies
book shop 	könyvesbolt
brandy 	konyak
bread 	kenyér
breadcrumbs 	kenyérmorzsa
broccoli 	brokkoli
brussels sprouts 	kelbimbó
butcher’s 	hentesüzlet
butter 	vaj
cabbage 	káposzta
cake shop 	cukrászda
caraway 	kömény
carp 	ponty
carrier-bag 	bevásárlószatyor
carrot 	sárgarépa
cash 	készpénz
cash desk 	pénztár
cashier 	pénztáros
catalogue 	katalógus
cauliflower 	karfi ol
celeriac 	zellergumó
celery 	zeller
cereals 	gabonapehely
champagne 	pezsgő
change 	apró
cheap 	olcsó
checkout 	fizetés
chemist’s 	drugstore
cherry 	cseresznye
chestnut 	gesztenye
chicken 	csirke
china shop 	porcelánbolt
cinnamon 	fahéj
cloves 	szegfűszeg
cod 	tőkehal
cold meat / cuts 	vegetables
complaint 	panasz
confectioner’s 	cukrászda
consumer goods 	fogyasztási cikkek
convenience food 	készétel
corn cob 	csöves kukorica
cornflakes 	kukoricapehely
cottage cheese 	túró
counter 	pult
cream 	tejszín
credit card 	hitelkártya
cube sugar 	kockacukor
cucumber 	uborka
customer 	vásárló
dairy 	tejtermékeket árusító üzlet
dairy products 	tejtermékek
date 	datolya
department store 	áruház
discount 	leárazás
dry wine / sweet wine 	száraz bor / édes bor
duck 	kacsa
durables 	tartós fogyasztási cikkek
electrical appliances shop 	műszaki bolt
expensive 	drága
fig 	füge
fitting room 	öltöző
fizzy 	soda
flour 	liszt
foodstuff 	élelmiszer
freshwater fish 	édesvízi hal
frozen food 	fagyasztott étel
fruit 	gyümölcs
furniture shop 	bútorbolt
game 	vad
garlic 	fokhagyma
goods 	áruk
goose 	liba
granulated sugar 	kristálycukor
grapes 	szőlő
green pepper 	zöldpaprika
greengrocer’s 	zöldséges
grocer’s 	fűszerüzlet
groceries 	élelmiszer
haberdasher’s 	rövidáru-kereskedő
ham 	sonka
hard / alcoholic drinks 	alkoholos italok
hardware shop 	vas-, fém- és acéláru
hazelnut 	mogyoró
hot chocolate 	kakaó
hypermarket 	bevásárlóközpont, hipermarket
icing sugar 	porcukor
in stock 	raktáron
instant coffee 	azonnal oldódó kávé
item 	(áru)cikk
