becomes bigger 	egyre nagyobbá válik
career 	karrier
communication 	kommunikáció
cultural knowledge 	kulturális ismeretek
foreign language 	idegen nyelv
friends 	barátok
further education 	továbbtanulás
global 	globális
international communication 	nemzetközi kommunikáció
internet 	internet
job opening 	álláslehetőség
knowledge 	tudás
language education 	nyelvoktatás
love 	szerelem
make contact 	kapcsolatteremtés
popular 	könnyen érthető
simple 	egyszerű
telecommunications 	távközlés
understanding 	megértés
universal language 	világnyelv
wide-spreading 	széles körben terjedő
worldwide 	világméretű
