a late riser 	későn kelő
alarm clock 	ébresztőóra
an early riser 	korán kelő
daily routine 	napirend
he got out of bed on the wrong side 	bal lábbal kelt fel
to arrive 	megérkezni
to brush one’s teeth 	megmossa a fogát
to drink a coffee 	inni egy kávét
to get dressed 	felöltözik
to get up 	felkel
to go to work 	munkába menni
to have / take a bath 	fürdik
to have / take a shower 	zuhanyozik
to have a shave 	borotválkozik
to have a wash 	megmosakszik
to have breakfast 	reggelizik
to leave for school 	elindul az iskolába
to leave home 	elindul otthonról
to oversleep 	elalszik
to wake up 	felébred
