alive 	élő
bad 	rossz
beautiful 	gyönyörű
big 	nagy
boring 	unalmas
broad 	széles (átv)
cheap 	olcsó
clean 	tiszta
closed vagy shut 	zárva / csukva
cold 	hideg
dangerous 	veszélyes
dark 	sötét
dead 	halott
deep 	mély
difficult 	nehéz
dirty 	mocskos
disgusting 	undorító
dry 	száraz
early 	korán
easy 	könnyű
empty 	üres
excellent 	kiváló
expensive 	drága
fabulous 	mesés
far 	messze
fast 	gyors
few 	kevés
full 	teli
gassy 	gázos
generous 	bőkezű
good 	jó
hamis 	hamis
happy 	boldog
hard 	kemény
heavy 	nehéz / súlyos
high 	magas
hot 	meleg
igaz 	igaz
important 	fontos
intelligent 	intelligens
interesting 	érdekes
late 	későn
light 	könnyű
long 	hosszú
loose 	laza
loud 	hangos
low 	alacsony
lucky 	szerencsés
many 	sok
mean 	fukar
muddy 	sáros
narrow 	keskeny
nasty 	gonosz
near 	közel
new 	új
nice 	kedves
old 	idős vagy öreg
open 	nyitva
poor 	szegény
quiet 	halk
rich 	gazdag
right 	jó
sad 	szomorú
safe 	biztonságos
shallow 	sekély
short 	rövid
slow 	lassú
small vagy little 	kicsi
soft 	lágy
strong 	erős
stupefying 	kábító vagy bódító
stupid 	buta
terrible 	borzalmas
thick 	vastag
thin 	vékony
tight 	szoros
ugly 	csúnya
unimportant 	lényegtelen
unlucky 	szerencsétlen
weak 	gyenge
wet 	nedves
wide 	széles
wrong 	rossz
young 	fiatal
