business trip 	üzleti út
to be late for school 	elkésik az iskolából
to catch the number 7 bus 	a 7-es busszal megy
to change to 	átszáll
to drive the kids to … 	elviszi a gyerekeket …
to get off 	leszáll
to get to school 	odaér az iskolába
to get to work 	odaér a munkahelyére
to go as far as … 	elmegy valameddig
to go by airplane 	repülővel menni
to go by car 	autóval menni
to go by ship 	hajóval menni
to go by train 	vonattal menni
to take the kids home 	hazavinni a gyerekeket
to take the kids to … 	elviszi a gyerekeket …
to take the number 7 bus 	a 7-es busszal megy
to walk to the bus stop 	elsétál a buszmegállóba
