a good deal 	jó üzlet
advertisement/ad 	hirdetés
advertising space 	reklámfelület
annoying 	idegesítő
billboard 	óriásplakát
blocking 	blokkolás
commerce/trade 	kereskedelem
dissemination 	terjesztés
embarrassing 	zavaró
income 	jövedelem
intermission 	szünet
internet advertisement 	internetes hirdetés
leaflet 	szórólap
marketing 	marketing
marketing research 	piackutatás
media 	média
necessary 	szükséges
newspaper 	újság
poster 	plakát
profitable 	jövedelmező
social media 	közösségi média
striking 	feltűnő
television 	televízió
to advertise 	reklámozni
to disturb 	zavarni
tv advertising 	tévéreklám
