alloy 	ötvözet
aluminium 	alumínium
asbestos 	azbeszt
ash 	hamu
boon 	pozdorja
brass 	sárgaréz
brick 	tégla
bronze 	bronz
bulletproof glass 	golyóálló üveg
carbon dioxide 	szén-dioxid
cardboard 	karton
cement 	cement
chalk 	kréta
charcoal 	faszén
clay 	agyag
cloth 	anyag
coal 	szén
concrete 	beton
copper 	réz
cotton 	pamut
dust 	por
fibreglass 	üvegszál
gas 	gáz
glass 	üveg
gold 	arany
gravel 	sóder
helium 	hélium
hydrogen 	hidrogén
ice 	jég
iron 	vas
lace 	csipke
lead 	ólom
leather 	bőr
linen 	lenvászon
magnesium 	magnézium
marble 	márvány
mercury 	higany
metal 	fém
mud 	sár
nickel 	nikkel
nitrogen 	nitrogén
nylon 	nejlon
oil 	olaj
oxygen 	oxigén
paper 	papír
petrol 	benzin
plastic 	műanyag
platinum 	platina
polyester 	műszál
red copper 	vörösréz
rubber 	gumi
sand 	karton
silk 	selyem
silver 	ezüst
slate 	pala
smoke 	füst
soil 	talaj
steam 	gőz
steel 	acél
stone 	kő
tile 	csempe
tin 	bádog
titanium 	titánium
viacolor 	viacolor
water 	víz
wood 	fa
wool 	gyapjú
zinc 	cink
