bin 	szemetes
bottle opener 	üvegnyitó
bowl 	tál
carving knife 	metszőkés
chopping board 	vágódeszka
chopsticks 	evőpálcika
cling film (amerikai angol: plastic wrap) 	folpack
coffee pot 	kávéfőző
colander 	szűrőedény
cooker 	sütő
cookery book 	szakácskönyv
corkscrew 	dugóhúzó
crockery 	étkészlet (tányérok, edények)
cup 	csésze
dessert spoon 	kiskanál
dishwasher 	mosogatógép
fork 	villa
freezer 	fagyasztó
fridge (a következő rövidítése: refrigerator) 	hűtő
frying pan 	serpenyő
glass 	pohár
grater vagy cheese grater 	reszelő/sajtreszelő
grill 	grillsütő
jar 	befőttes üveg
jug 	kancsó
juicer 	facsaró
kettle 	vízforraló
kitchen foil 	alufólia
kitchen roll 	konyhai papírtörlő
kitchen scales 	konyhai mérleg
knife 	kés
ladle 	merőkanál
mixing bowl 	keverőtál
mug 	bögre
oven 	sütő
oven cloth 	konyharuha sütőhöz
oven gloves 	sütőkesztyű
plate 	tányér
rolling pin 	sodrófa
saucepan 	lábos
scouring pad vagy scourer 	mosogatószivacs/dörzsi
shelf 	polc
sieve 	szita
sink 	mosogató
soup spoon 	evőkanál
spoon 	kanál
stove 	tűzhely
sugar bowl 	cukortartó
tablecloth 	asztalterítő
tablespoon 	evőkanál
tea towel 	konyharuha
teapot 	teáskanna
teaspoon 	kiskanál
tin opener 	konzervnyitó
to bake 	sütni
to clear the table 	leszedni az asztalt
to cook 	főzni
to do the dishes 	elmosogatni
to do the washing up 	elmosogatni
to set the table vagy to lay the table 	megteríteni az asztalt
toaster 	kenyérpirító
tongs 	konyhai fogó
tray 	tálca
washing machine 	mosógép
washing-up liquid 	mosogatószer
whisk 	habverő
wine glass 	boros pohár
wooden spoon 	fakanál
